Total Time (ns), Mean Time (s), Throughput (bytes/ns), Mean Throughput (bytes/s), Total Sent Bytes (bytes), Total Received Bytes (bytes), Total Attempts, Number of Timeouts
24724995173, 2.472500e-04, 4.044490e-06, 4.044490e+03, 100000, 100000, 100000, 0
25087248953, 2.508725e-04, 3.986089e-04, 3.986089e+05, 10000000, 10000000, 100000, 0
25830958342, 2.583096e-04, 7.742647e-04, 7.742647e+05, 20000000, 20000000, 100000, 0
27462265341, 2.746227e-04, 1.092408e-03, 1.092408e+06, 30000000, 30000000, 100000, 0
26099591827, 2.609959e-04, 1.532591e-03, 1.532591e+06, 40000000, 40000000, 100000, 0
27619138781, 2.761914e-04, 1.810339e-03, 1.810339e+06, 50000000, 50000000, 100000, 0
28973922518, 2.897392e-04, 2.070828e-03, 2.070828e+06, 60000000, 60000000, 100000, 0
29867577463, 2.986758e-04, 2.343679e-03, 2.343679e+06, 70000000, 70000000, 100000, 0
28208465996, 2.820847e-04, 2.836028e-03, 2.836028e+06, 80000000, 80000000, 100000, 0
29112139622, 2.911214e-04, 3.091494e-03, 3.091494e+06, 90000000, 90000000, 100000, 0
29603020406, 2.960302e-04, 3.378034e-03, 3.378034e+06, 100000000, 100000000, 100000, 0
30292797129, 3.029280e-04, 3.380342e-03, 3.380342e+06, 102400000, 102400000, 100000, 0
34912005268, 3.491201e-04, 4.218251e-02, 5.866177e+06, 1472675840, 1472661525, 100000, 7
29647991560, 2.964799e-04, 8.289242e-02, 1.036158e+07, 2457593856, 2457561121, 100000, 0
37348854673, 3.734885e-04, 8.773572e-02, 1.096687e+07, 3276828672, 3276786721, 100000, 0
48423101875, 4.842310e-04, 1.242763e-02, 1.057347e+07, 601784320, 601763855, 100000, 1
48711198209, 4.871120e-04, 1.261312e-02, 1.261312e+07, 614400000, 614400000, 100000, 0
46960261173, 4.696026e-04, 1.526397e-02, 1.526397e+07, 716800000, 716800000, 100000, 0
46512888721, 4.651289e-04, 1.761232e-02, 1.761232e+07, 819200000, 819200000, 100000, 0
48470235818, 4.847024e-04, 1.901373e-02, 1.901373e+07, 921600000, 921600000, 100000, 0
50027352524, 5.002735e-04, 2.046880e-02, 2.046880e+07, 1024000000, 1024000000, 100000, 0
52024644044, 5.202464e-04, 2.165128e-02, 2.165128e+07, 1126400000, 1126400000, 100000, 0
63817885985, 6.381789e-04, 1.925441e-02, 1.925479e+07, 1228775424, 1228775424, 100000, 2
70948839920, 7.094884e-04, 1.876188e-02, 1.876282e+07, 1331133440, 1331133440, 100000, 5
66171929398, 6.617193e-04, 2.166478e-02, 2.166478e+07, 1433600000, 1433600000, 100000, 0
63521117447, 6.352112e-04, 2.418093e-02, 2.418093e+07, 1536000000, 1536000000, 100000, 0
64100458060, 6.410046e-04, 2.555988e-02, 2.555988e+07, 1638400000, 1638400000, 100000, 0
63941379717, 6.394138e-04, 2.722494e-02, 2.722494e+07, 1740800000, 1740800000, 100000, 0
69732387963, 6.973239e-04, 2.643248e-02, 2.643248e+07, 1843200000, 1843200000, 100000, 0
84219130696, 8.421913e-04, 3.991594e-02, 2.310164e+07, 3361685504, 3361666051, 100000, 1
76422132301, 7.642213e-04, 5.477939e-02, 2.679852e+07, 4186357760, 4186296329, 100000, 10
76161637041, 7.616164e-04, 2.823469e-02, 2.823469e+07, 2150400000, 2150400000, 100000, 0
78265140536, 7.826514e-04, 2.878421e-02, 2.878421e+07, 2252800000, 2252800000, 100000, 0
91896868560, 9.189687e-04, 4.571294e-02, 2.562873e+07, 4200876032, 4200852483, 100000, 1
91497467692, 9.149747e-04, 5.855750e-02, 2.685976e+07, 5357862912, 5357789193, 100000, 9
89481710170, 8.948171e-04, 6.702220e-02, 2.860920e+07, 5997260800, 5997158418, 100000, 2
91306005472, 9.130601e-04, 4.018414e-02, 2.915909e+07, 3669053440, 3669000198, 100000, 1
90496168616, 9.049617e-04, 3.055157e-02, 3.055157e+07, 2764800000, 2764800000, 100000, 0
95796494775, 9.579649e-04, 2.993011e-02, 2.993011e+07, 2867200000, 2867200000, 100000, 0
93973001093, 9.397300e-04, 3.160057e-02, 3.160057e+07, 2969600000, 2969600000, 100000, 0
93202804414, 9.320280e-04, 3.296038e-02, 3.296038e+07, 3072000000, 3072000000, 100000, 0
99571686135, 9.957169e-04, 3.188055e-02, 3.188055e+07, 3174400000, 3174400000, 100000, 0
106254897063, 1.062549e-03, 3.083905e-02, 3.083905e+07, 3276800000, 3276800000, 100000, 0
